Ürün Grup ID,Varyant ID,İsim,Açıklama,Satış Fiyatı,İndirimli Fiyatı,Alış Fiyatı,Barkod Listesi,SKU,Silindi mi?,Marka,Kategoriler,Etiketler,Resim URL,Metadata Başlık,Metadata Açıklama,Slug,Stok:Ana Depo,Tip,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2,Desi,HS Kod,Birim Ürün Miktarı,Ürün Birimi,Satılan Ürün Miktarı,Satılan Ürün Birimi,Google Ürün Kategorisi,Tedarikçi,Stoğu Tükenince Satmaya Devam Et,Satış Kanalı:dev-glindent,Sepet Başına Minimum Alma Adeti:dev-glindent,Sepet Başına Maksimum Alma Adeti:dev-glindent,Varyant Aktiflik
,,G-Ceram Blocks Zirconia Discs - 12mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-12-WH,GCZD-12-WH,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 12mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-12-wh,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 12mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-12-PR,GCZD-12-PR,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 12mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-12-pr,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 12mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-12-MU,GCZD-12-MU,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 12mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-12-mu,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 14mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-14-WH,GCZD-14-WH,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 14mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-14-wh,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 14mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-14-PR,GCZD-14-PR,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 14mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-14-pr,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 14mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-14-MU,GCZD-14-MU,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 14mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-14-mu,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 16mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-16-WH,GCZD-16-WH,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 16mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-16-wh,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 16mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-16-PR,GCZD-16-PR,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 16mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-16-pr,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 16mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-16-MU,GCZD-16-MU,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 16mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-16-mu,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
,,G-Ceram Blocks Zirconia Discs - 18mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,,GCZD-18-WH,GCZD-18-WH,false,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",,G-Ceram Blocks Zirconia Discs - 18mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) opti",gczd-18-wh,100,PHYSICAL,,,,,,,,,,,,,false,VISIBLE,,,true
