Ad,Açıklama,Satış Fiyatı,Alış Fiyatı,Barkod Listesi,Marka,Kategoriler,Etiketler,Metadata Başlık,Slug,Stok,Tip,Desi,Tedarikçi,Satış Kanalı,Varyant Aktiflik
G-Ceram Blocks Zirconia Discs - 12mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-12-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 12mm - White (HT),gczd-12-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 12mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-12-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 12mm - Pre-Shaded (ST),gczd-12-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 12mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-12-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 12mm - Multilayer (SHT),gczd-12-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 14mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-14-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 14mm - White (HT),gczd-14-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 14mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-14-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 14mm - Pre-Shaded (ST),gczd-14-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 14mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-14-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 14mm - Multilayer (SHT),gczd-14-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 16mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-16-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 16mm - White (HT),gczd-16-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 16mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-16-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 16mm - Pre-Shaded (ST),gczd-16-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 16mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-16-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 16mm - Multilayer (SHT),gczd-16-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 18mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-18-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 18mm - White (HT),gczd-18-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 18mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-18-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 18mm - Pre-Shaded (ST),gczd-18-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 18mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-18-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 18mm - Multilayer (SHT),gczd-18-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 20mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-20-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 20mm - White (HT),gczd-20-wh,100,PHYSICAL,,,,
