Sku,Ad,Açıklama,Kategoriler,Marka,Satış Fiyatı,Stok,Etiketler,Varyantlar
GCZD-12-WH,G-Ceram Blocks Zirconia Discs - 12mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:12mm|Renk:White (HT)
GCZD-12-PR,G-Ceram Blocks Zirconia Discs - 12mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:12mm|Renk:Pre-Shaded (ST)
GCZD-12-MU,G-Ceram Blocks Zirconia Discs - 12mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:12mm|Renk:Multilayer (SHT)
GCZD-14-WH,G-Ceram Blocks Zirconia Discs - 14mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:14mm|Renk:White (HT)
GCZD-14-PR,G-Ceram Blocks Zirconia Discs - 14mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:14mm|Renk:Pre-Shaded (ST)
GCZD-14-MU,G-Ceram Blocks Zirconia Discs - 14mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:14mm|Renk:Multilayer (SHT)
GCZD-16-WH,G-Ceram Blocks Zirconia Discs - 16mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:16mm|Renk:White (HT)
GCZD-16-PR,G-Ceram Blocks Zirconia Discs - 16mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:16mm|Renk:Pre-Shaded (ST)
GCZD-16-MU,G-Ceram Blocks Zirconia Discs - 16mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:16mm|Renk:Multilayer (SHT)
GCZD-18-WH,G-Ceram Blocks Zirconia Discs - 18mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:18mm|Renk:White (HT)
GCZD-18-PR,G-Ceram Blocks Zirconia Discs - 18mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:18mm|Renk:Pre-Shaded (ST)
GCZD-18-MU,G-Ceram Blocks Zirconia Discs - 18mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:18mm|Renk:Multilayer (SHT)
GCZD-20-WH,G-Ceram Blocks Zirconia Discs - 20mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:20mm|Renk:White (HT)
GCZD-20-PR,G-Ceram Blocks Zirconia Discs - 20mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:20mm|Renk:Pre-Shaded (ST)
GCZD-20-MU,G-Ceram Blocks Zirconia Discs - 20mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:20mm|Renk:Multilayer (SHT)
GCZD-22-WH,G-Ceram Blocks Zirconia Discs - 22mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,G-Ceram,,100,"zirconia,cad-cam,dental,disc",Boyut:22mm|Renk:White (HT)
